Symbol	Reason 1	Time 1	Reason 2	Time 2	Reason 3	Time 3	Reason 4	Time 4	Reason 5	Time 5	Sync Reason 1	Sync Time 1	Sync Reason 2	Sync Time 2	Sync Reason 3	Sync Time 3	Sync Reason 4	Sync Time 4	Sync Reason 5	Sync Time 5	Sync Reason 6	Sync Time 6	Sync Reason 7	Sync Time 7	Sync Reason 8	Sync Time 8	Sync Reason 9	Sync Time 9	Sync Reason 10	Sync Time 10	Sync Reason 11	Sync Time 11	Sync Reason 12	Sync Time 12	Sync Reason 13	Sync Time 13	Sync Reason 14	Sync Time 14	Sync Reason 15	Sync Time 15	Sync Reason 16	Sync Time 16	Sync Reason 17	Sync Time 17	Sync Reason 18	Sync Time 18	Sync Reason 19	Sync Time 19	Sync Reason 20	Sync Time 20	Sync Reason 21	Sync Time 21
ONGC	Demand Zone	11:40:17	Demand Zone	12:02:29	Demand Zone	12:20:51					Bearish Engulfing	11:45:17	Bearish Engulfing	12:05:07	Bearish Engulfing	13:00:05	Bearish Piercing	14:00:07	Bearish Engulfing	14:35:04																																
PATANJALI	Supply Zone	11:41:08	Supply Zone	12:02:41							HVD	11:41:49	HVD	11:49:02	Bullish Engulfing	12:10:28	Bullish Engulfing	15:00:15	Bearish Piercing	15:10:27																																
SONACOMS	SMA200	11:45:16	SMA200	12:02:17							Bullish Engulfing	14:40:16																																								
MANAPPURAM	BB-Lower	11:46:12	BB-Lower	12:02:19	BB-Lower	12:20:50																																														
ICICIBANK	Supply Zone	11:47:13	Supply Zone	12:02:12	Supply Zone	12:20:51					Bullish Engulfing	15:30:42																																								
HFCL	Demand Zone	12:00:25	Demand Zone	12:02:27	Demand Zone	12:20:52					Bullish Engulfing	14:20:16																																								
IRFC	Supply Zone	12:00:56	Supply Zone	12:02:16	Supply Zone	12:20:55	Supply Zone	12:31:38																																												
POLICYBZR	Supply Zone	12:01:56	SMA200	12:17:48	Supply Zone	12:20:40					Bullish Engulfing	12:20:14	Bearish Engulfing	14:05:09	Overbought	14:05:26	HVD	14:39:02	Overbought	15:25:34	Bearish Engulfing	15:25:49	HVD	15:27:44	Bullish Engulfing	15:30:12																										
CNXENERGY	Demand Zone	12:01:57	Demand Zone	12:20:41							Bearish Piercing	12:05:06	Bullish Engulfing	13:05:01	Bearish Engulfing	13:20:19	Bearish Piercing	14:10:04	Bullish Piercing	14:55:03	Evening Star	15:31:05																														
BAJFINANCE	Demand Zone	12:01:58	Demand Zone	12:20:38							Bearish Engulfing	14:50:07	Bearish Engulfing	15:05:08	Bearish Piercing	15:15:12																																				
CNXPHARMA	Demand Zone	12:01:59	Demand Zone	12:20:40							Bearish Engulfing	12:15:05	Bullish Piercing	12:35:08	Bullish Engulfing	12:55:06	Bullish Engulfing	13:15:02	Bullish Piercing	13:40:07	Bullish Engulfing	13:50:06	Evening Star	14:15:06	Bullish Piercing	14:55:02	Bearish Piercing	15:15:11	Bearish Engulfing	15:25:39																						
MPHASIS	Supply Zone	12:01:59	BB-Upper	12:02:09	Supply Zone	12:20:42					Overbought	12:50:04	Bearish Piercing	12:50:21	Bearish Engulfing	13:05:14	Overbought	13:05:15	HVD	13:09:24	Evening Star	14:10:17	Overbought	14:10:28	Bullish Piercing	15:00:09	Evening Star	15:20:16	Overbought	15:20:24																						
SBILIFE	BB-Upper	12:02:00	Supply Zone	12:02:15	BB-Upper	12:20:43					Bullish Engulfing	14:30:16																																								
IDEA	SMA200	12:02:01	SMA200	12:20:36							Bullish Engulfing	13:25:08	Bullish Piercing	15:20:19																																						
PETRONET	Demand Zone	12:02:06	Demand Zone	12:20:42							Bullish Engulfing	14:25:19																																								
LTF	Demand Zone	12:02:07	Demand Zone	12:20:46							Bullish Engulfing	12:40:13	Bearish Piercing	12:50:22	Bearish Engulfing	13:30:08	Bearish Engulfing	14:35:07	Bearish Engulfing	15:05:15																																
ADANIGREEN	BB-Lower	12:02:08	BB-Lower	12:20:53							Bearish Piercing	12:05:03	Bullish Engulfing	13:40:19	Bullish Engulfing	14:05:16	Bearish Engulfing	15:00:12	Bullish Piercing	15:05:13																																
